Index,Term,Definition
5179,kåretan chichechek,"Legendary vehicle that makes a squeaking noise. Is said to go out at night , and is considered haunted. Is often referred to in stories of the taotaomo'na. Is also responsible for the cracks and fissures on the flat rocks by the seashore."
5180,kåretatibu,Industrious; active.
5181,kåretiya,noun. 1) wheelbarrow 2) shopping cart 3) spool
5182,kåretiyan hilu,Spool of thread.
5183,kåreton,Wagon
5184,kåridåt,Charity; alms.
5185,kårisu,"Type of plant -- phragmites karka, or the reed plant . Bamboo -- swamp type."
5186,kårit,Rut; track of wheel; groove.
5187,kåritatibu,Charitable.
5188,kåriteru,Rascal; rogue; one who drives a kareta. Also kåritera (f).
5189,kåritet,Spool of thread--large.
5190,kåriñosu,Affectionate; loving (male). Also kåriñosa (f).
5191,kåriñu,Caress; petting; fondness; affection; tenderness.
5192,kårí,noun. curry (culinary)
5193,kas,Cash.
5194,kåsa,Cock (firearm); cover a bet.
5195,kåsadules,Chaser (in hunting); one who chaes the animal to an open area to be shot by the hunter--usually a dog.
5196,kåsamiento,noun. marriage; married; wedding.
5197,kåsao,"noun. married person; spouse; 
adjective. married; not single."
5198,kåsao,"Cry; bawl; sob; moan; weep; whimper; wail; to cry out--with a loud, full sound."
5199,kåserola,noun. sauce pan; frying pan.
5200,kåsi,About; approximately; nearly; almost; probably; maybe; perhaps; more or less.
5201,kåsinu,Type of card game.
5202,kåsiyas,Coop; chicken coop; brooding place for birds.
5203,kåskåhu,Gravel--coase; coral; crushed stone; pebble. Also kåskao
5204,kåskåra,"Shell (bullet); shell--of animal, crab, etc.; casing of ammunition."
5205,kåskåran chåda',Egg shell.
5206,kaskas,Rustle; soft sounds; rustling.
5207,kåsko,Empty; nothing; broke; used especially referring to money when gambing.
5208,kåsoe,Type of plant--anacardium occidentale. Cashew tree; cashew nut.
5209,kåspa,Crispy; snapped off easily. Also påska.
5210,kåspa,"noun. Dandruff; skin peeling off caused from dryness, as in sunburn."
5211,kassas,"Scratch, as when one itches."
5212,kasse,"Tease; vex; harass; irritate by petty requests, or by jests and raillery."
5213,kåstaneta,Castanet.
5214,kåstiga,verb. to punish; force to labor.
5215,kåstigao,Punishable; liable to punishment; prisoner.
5216,kåstigu,Punishment.
5217,Kåstilånu,Castillian (male). Also Kåstiliåna (f).
5218,kåsunesitu,Type of fish--family carcharhinidae. Baby shark.
5219,kåtbon,Charcoal; coal.
5220,kåtboneru,Collier; charcoal vendor (male). Also kåtbonera (f).
5221,kåtbonkulu,Carbuncle.
5222,kåtbureta,Carburetor.
5223,kåtderon,Large kettle; calderon.
5224,kåtderu,Tub; large pan.
5225,kåtdes,Type of plant--moringa oleifera.
5226,kåtdinåt,Cardinal.
5227,kåtdiritu,Kettle--small; small pot.
5228,kåtdiyu,Type of food--made with sauteed onions seasoned with vinegar and salt.
5229,kåtdumen åbeas,Swarm of bees.
5230,kåtdumi,Crowd; group; school (of fish); flock.
5231,kåten chiba,Bleat
5232,kåtga,Carry; transfer; haul; transport.
5233,kåtgaderu,Sinker--used on fishing line; one or that which is capable of carrying; carrier.
5234,kåtgadot,Loader; stevedore; carrier; mover.
5235,kåtgådu,Overloaded.
5236,kåtgådu,Carrier; one who does the carrying; one who carries a load; porter.
5237,kåtgamento,Loading--cargo.
5238,kåtgat,Fishing line--nylon. Also gugat.
5239,kåtgo,Commission; charge; order; burden.
5240,kåtgueti,Annoyance; culpable--permitting others to do wrong; permissive--overly. Also åtkågueti.
5241,kåti,Sob; scream; shout; weep; outcry; cry.
5242,kåtigoriu,Category.
5243,kåtiguråt,Category.
5244,kåtisismo,"Catechism book; a manual for catechizing, especially for religious instruction."
5245,kåtiyi,Cry for; weep for; call for.
5246,kåtkåt,Clear throat.
5247,kåtkula,Calculate; estimate; compute.
5248,kåtkulasion,Calculation; estimate.
5249,kåtkulu,Calculation; estimate.
5250,kåtma,Calm; no breeze; not breezy.
5251,kåtna,Good bait; bait which fish are especially attracted to.
5252,kåtna,Good fishing.
5253,kåtna',"Almost; nearly. Also kana', kanna', kana' ha'."
5254,kåtnåda,Bait; lure.
5255,kåtnådåyi,Set out bait for; set out lure for.
5256,kåtnan babui,Pork.
5257,kåtne,Meat; flesh (especially refers to mammal's flesh).
5258,kåtnen guaka,Beef.
5259,kåtnen kinilu,Mutton.
5260,kåtnen notte,Corned beef.
5261,katokcha',Fishing--by spear; fish--catch by spear. (Rota)
5262,Kåtoliku,Catholic.
5263,Kåtolisismo,Catholicism.
5264,katot,Type of plant--claoxylon marianum. A type of tree.
5265,katot,Sensation in mouth caused by eating certain foods. Also kakatot.
5266,kåtotse,Fourteen.
5267,kåtpenteria,Carpentry.
5268,kåtpenteru,Carpenter.
5269,kåtpeta,Wallet; briefcase; suitcase.
5270,kåtre,Bed; cot.
5271,kåtsa,Dress up; put make-up on; apply cosmetics. 
5272,kåtsåda,Road--gravel; street.
5273,kåtset,Prison; jail.
5274,kåtsulas,Pill; tablet (medicine). Also kåpsulas.
5275,kåtsulas,Cartrige shell--the brass shell portion of a bullet or artillery shell.
5276,kåtsunes,"Pants; trousers, underwear (for females); panties."
5277,kåtsunsiyu,Undershorts (for males).
5278,kåtta,Letter; correspondence; a written or printed communication of a direct or personal nature; mail.
5279,kåttan,East (in Guam and Rota); north (in Saipan). Also kåtan.
5280,kåttan bålåha,Cards (playing).
5281,kåttayi,Write letter (to someone).
5282,kåttiya,Primer; elematary text.
5283,kåtton,Carton; cardboard box; packing case; paper box.
5284,kåttuchu,Clip of bullets; bundle.
5285,kåttuchu,Stringer; to put on a stringer--as to put fish on a stringer.
5286,katu,noun. cat; kitten.
5287,kåtupat,"noun. woven container used for cooking rice; a box-like container woven from coconut leaves, into which rice is placed, then submerged in boiling water for cooking."
5288,kåtupat,"Slingshot, as the one used by David."
5289,kåturai,Type of plant--sesbania grandiflora. Type of tree--both flowers and pods are edible and serve as a laxative.
5290,kåyåda,Silent; quiet; calm; slackening--of wind or rain.
5291,kåyåda,Slackening.
5292,kåyao,Subside; calm down.
5293,kåyi,noun. path; street; trail; road; alley.
5294,kåyon,noun. path; street; trail; road; alley.
5295,kåyos,noun. 1) callus; hardened part of skin or soft tissue. 2) ugly (person); used often by people to address someone with the same first name.
5296,kåyu,"Word used to address a person with same name. For example, Juan addressing another Juan may use kåyu as a form of direct address."
5297,kåña,Field (used for planting); garden.
5298,kåñåda,Valley; gulch; canyon.
5299,kåñåmu,Manila rope--made out of abaca.
5300,kåñon,Cannon; gun (heavy artillery); canyon.
5301,kåñonåsu,Bombard--with artillery.
5302,kåñoneru,Artilleryman; gunner. Also kåñonera (female).
5303,kåñutu,Gun barrel.
5304,ke,Well; so; in such wise; in that case.
5305,ke,Try to do (something). (Prefix)
5306,ke'yao,"1) adjective. Limp (when walking); loose-jointed (when walking).
2) noun. cripple; a person who is unable to walk because of an injury or illness."
5307,kebra,Calamity; disaster; to go wrong; bankrupt.
5308,kebrånta,Overwork; cause to labor too much; overdo.
5309,kechåp,Soy sauce; catsup.
5310,kechule',Try to take. 
5311,kedanche,Try to hit; try to guess.
5312,kedanchiyi,Figure out--a riddle or puzzle.
5313,kedera,Hamstring; cut ligaments (so as to cripple animal). (Rota)
5314,keha,verb. to report; to make a charge of misconduct against someone to a superior; to make a complaint; sue.
5315,kehåtsa,Lift--try to; about to raise.
5316,kehåyi,verb. to report someone; make charge of misconduct against (one) to a superior; tattle; tell on; blab; sue; complain.
5317,kek,"noun. cake; dessert, usually baked, made  from mixing flour, eggs, sugar and other ingredients."
5318,keke,Begin to; start to; about to (do something); try to. Auxillary used in constructions with specific objects.
5319,kelachai,Finish--try to; about to finish; about to take all.
5320,kelaguen,"Type of food. Dish made of meat, salt, onion, red pepper, and lemon juice."
5321,keli'e',See--try to; about to see.
5322,ken såbe,Doubtful; I doubt it.
5323,kepes,Nightcap; cap.
5324,kesångan,Say--try to; about to say.
5325,kesnudu,Nude; naked (male). Also kesnuda (f).
5326,kesu,noun. cheese (food)
5327,ketu,"adjective. still (immobile), quiet (peaceful) "
5328,ketungo',Know--try to; about to know.
5329,keuntan,Substitution for; replacement for; stand in; alternative for; in place for. 
5330,keyute',Throw away--try to.
5331,ki ora,What time.
5332,ki sabes,phrase. none of one's business.
5333,kiba',Puckered (lips); downturned lips to show dislike.
5334,kichåla,noun. spoon. Also kuchåla.
5335,kichåron,"noun. spoon -- large and used in cooking; ladle. 

Also kuchåron."
5336,kichi,Coitus; sexual intercourse--have (taboo).
5337,kichu,"Type of fish--family of acanthuridae. Convict tang. Or, acanthurus triostegus."
5338,kietu,"adjective. still (immobile), quiet (peaceful)."
5339,kifan,Dislocate jaw bone; pop jaw--out of joint.
5340,kifan,Aggravate; worsen; increase inflammation in; make more severe. (Rota)
5341,kihådas,"noun. jaw, jawbone (anatomy)."
5342,kikånyio',noun. machine gun. (Saipan)
5343,kilili,To hand carry; drift away--by current; carry along.
5344,Kilisyånu,Christian; Catholic.
5345,kilites,Type of plant--chenopodium album. Type of bush--edible.
5346,kilites,Type of plant--amaranthus. Type of bush. Also kilites åpåka'.
5347,kilok,Type of plant--thespesia populnea. Also kilulok.
5348,kilu,To always be last.
5349,kilu,Kilogram; kilowatt.
5350,kilu,Type of plant--thespesia populnea. 
5351,kilu'os,noun. cross; crucifix; the cross of Jesus.
5352,kilulok,Revolve; roll in a circle; turn around (as on an axis); spin.
5353,kilulok,Type of plant--thespesia populnea. Also kilok.
5354,kilumetro,noun. kilometer (unit of measurement)
5355,kimådu,adjective. scorched; burned without being inflamed; become scorched; become burned.
5356,kimåson,Fire; conflagration; blazing; burned; scorched; singed; consumed by fire; be on fire. Also kumåson.
5357,kime',Mongol-eyed person; a person with slanted eyes.
5358,kinahet na kulot,Orangeish; containing orange color. Kåhet plus -in-. 
5359,kinahulo',Score; points--number of; record of points made by competitors.
5360,kinahulo',noun. upbringing; rise; climb.
5361,kinahulo' åtdao,Sunrise; dawn; the break of day.
5362,kinahulo' guan,Sudden rise; be angry suddenly; out of ones mind suddenly.
5363,kinalamten,Motion; state of moving; progress; improvement.
5364,kinamyo,Grated coconut.
5365,kinanno',Eatten up; consumed.
5366,kinasse,Sarcastic; bitter; sarcasm.
5367,kinekuyong tåsi,Ebb tide; receding tide.
5368,kinentento,noun. contentment; satisfaction; fulfillment.
5369,kinibåtde,Horror; fear; terror; fright.
5370,kinientos,noun. five hundred (number)
5371,kinilak,"Watery, as in diarrhea; diarrhea; diarrhoetic."
5372,kinilis,Eclipse--of sun or moon. Farmers sometimes attribute poor or defective harvest to this.
5373,kinilot di rosa,Pinkish; containing pink color.
5374,kinilu,noun. sheep; lamb.
5375,kinke,Lamp; kerosene lamp.
5376,kinke,Kink; kinky--a short and often tight twist of hair.
5377,kinse,Fifteen.
5378,kinto,noun. a fifth; one-fifth.
5379,kinto,Short form of kon todu.
5380,kinu,Than (-ña…kinu) in comparative constructions; more.
5381,kiosko,Kiosk; small pavillion; book stand.
5382,kiridu,noun. 1) Favorite child (male); bosom child; favorite; 2) darling; sweetheart; lover (male). Also kirida (f).
5383,kisåbes,Don't know.
5384,kisåmi,Ceiling.
5385,kitan,Cross-eyed; cock-eyed; floating eye. A person whose eyes do not focus in the same direction.
5386,kitanlaña',Cock-eyed; slightly crazy person. A derogatory term. (Taboo)
5387,kiya,Keel; a timer or metal extending along the center of the bottom of the vessel.
5388,klåba,Pin against; pin down; hold down; nail down; crucify.
5389,klåbu,Clef--in music to indicate the pitch of the written notes.
5390,klåridåt,Clarity; clearness.
5391,klårifika,Clarify; make clear.
5392,klåru,Clear; true; doubtless; faultless; free of impurities; clean; purified; clarified; no doubt.
5393,klåruyi,Clarify; certify; testify; give evidence of; manifest; reveal; signify; tell clearly; frank.
5394,klas,Class--as in school.
5395,klåsi,Type; kind; class; sort; variety; nature; character.
5396,klåsifika,Classify; categorize; catelogue.
5397,klåsifikao,Classificable; classified; that which may be classified.
5398,klåsifikasion,Classification; arrangement.
5399,klema,Climate.
5400,klemensia,noun. mercy; clemency.
5401,klemente,Merciful.
5402,kleptomania,Kleptomania.
5403,klima,Climate; condition (referring to soil).
5404,ko'ko',Harvest (corn).
5405,ko'ko',Type of bird--rallus owstoni. Guam rail.
5406,ko'lao,Take food--to someone at work or in a hospital.
5407,ko'lao,Food--taken to someone at word or in a hospital.
5408,ko'operåsion,Cooperation.
5409,ko'operåtibu,Co-operative; co-operating.
5410,kobra,Pin down--as in fighting; hold down; to fasten securely.
5411,kocha,Slipper; light shoe easily slipped on (usually for indoor use); sandal; slip-on; house shoe. Also kotcha.
5412,kocha,Cork. Also kotcha.
5413,koche,Carriage; coach.
5414,koche,Chase pigs away.
5415,koche',Long hair--of a man's head.
5416,kocheru,Chauffeur; coachman.
5417,kodigu,Code; any system of principles or rules.
5418,kodu,Arm muscle; arm wrestle.
5419,kohu,Crippled; crooked leg; lame; one-legged.
5420,kokas,Tangled (by twisting); entangled.
5421,kokåñao,Weak-hearted; weak spirit; coward; chicken-hearted.
5422,kokkok,Clear throat.
5423,kokkolo',Go up; go north; opposite of tutunok.
5424,kokmpiti,Compete; engage in a contest.
5425,kokmpromisu,Compromise; agreement.
5426,kokoti,Do (something) repeatedly; do (something) without stopping.
5427,kola,Glue; train--of dress.
5428,kolådot,Strainer; sieve. Also kulådot.
5429,kolåyi,Put train on a dress.
5430,kolehio,College. Also kolehu.
5431,kolehu,College. Also kolehio.
5432,koleksion,Collection; donation.
5433,kolektot,Collector.
5434,kolepbla,Snake.
5435,kolera,Cholera.
5436,koleru,Ballot box; collection; container placed where donationis solicited in the church; box--usually found in church. (Saipan)
5437,koleta,Butt (of a firearm).
5438,kollat,To fence.
5439,kollat,Fence; corral; pen; barricade.
5440,kollat chå'guan,Hedge; fence of shrubbery.
5441,kololo'ña,Especially; specially.
5442,kolumna,Column.
5443,koma,Comma.
5444,komånda,Command; order with authority.
5445,komånda,Commander.
5446,kombålacheru,Swapper; barterer; exchanger (male). Also kombålachera (f).
5447,kombålachi,Fuss; argument; confusion; disagreement; trouble; racket.
5448,kombåteru,Troublemaker; fighter; combatant; bruiser; pugilist.
5449,kombåti,Fight; argument.
5450,kombenensia,Convenience; comfort; utility; profit.
